National_BMI_1985,Rural_BMI_1985,Urban_BMI_1985,National_BMI_2017,Rural_BMI_2017,Urban_BMI_2017,Country,Sex
24.2,24.6,24.2,24.5,24.6,24.5,Denmark,Women
21,20.1,21.2,23,22,23.3,Djibouti,Men
22,20.8,22.4,24.9,23,25.4,Djibouti,Women
22.4,21.9,22.8,25,24.5,25.2,Dominica,Men
25.4,24.7,26.1,29.1,28.7,29.2,Dominica,Women
23,22.4,23.4,26.1,25.6,26.3,Dominican Republic,Men
23.3,22.6,24,27.7,27.4,27.7,Dominican Republic,Women
19.4,19.1,20.2,21.3,20.8,22,DR Congo,Men
20,19.5,21.2,22.7,21.7,24.1,DR Congo,Women
23.5,23.1,24,26.5,25.6,27,Ecuador,Men
24.5,23.8,25.2,28,27.4,28.3,Ecuador,Women
25,24.7,25.3,27.5,27.2,27.9,Egypt,Men
26.6,25.4,28.1,31.7,31.3,32.3,Egypt,Women
24.3,23.8,24.9,27.1,26.3,27.4,El Salvador,Men
23.9,23.2,24.8,28.5,28,28.7,El Salvador,Women
20.6,20.2,21.4,22.5,22,23.2,Equatorial Guinea,Men
22.8,22.3,24,25.9,25,27.3,Equatorial Guinea,Women
19,18.9,20,20.5,20.2,21.6,Eritrea,Men
19.1,18.8,20.5,21.1,20.5,23.1,Eritrea,Women
24.8,25,24.7,26.6,26.6,26.6,Estonia,Men
25.3,25.8,25.1,25.7,26.2,25.5,Estonia,Women
18.5,18.4,19.8,20.2,19.8,21.5,Ethiopia,Men
18.9,18.7,20.2,21,20.4,23.1,Ethiopia,Women
24.1,23.4,25.1,26.5,26.4,26.7,Fiji,Men
25.8,25.5,26.4,28.8,28.3,29.2,Fiji,Women
25.2,25.5,25.1,26.4,26.6,26.3,Finland,Men
24.5,25.2,24.3,25.4,25.9,25.3,Finland,Women
24.9,25.4,24.7,26,26.3,25.9,France,Men
24.2,24.6,24,24,24.2,24,France,Women
28.2,27.1,29,29.7,29.6,29.8,French Polynesia,Men
28.7,28.1,29.1,29.6,29.1,30,French Polynesia,Women
21.7,20.9,22.2,24,22.9,24.2,Gabon,Men
22.5,21.3,23.2,26.8,24.4,27.1,Gabon,Women
20,19.6,20.9,23,22.3,23.5,Gambia,Men
20.5,19.8,22.1,24.6,22.9,25.8,Gambia,Women
24.7,24.4,25.1,27.5,27.3,27.6,Georgia,Men
24.3,24,24.5,27.6,27.9,27.3,Georgia,Women
25.3,25.6,25.1,27.3,27.5,27.3,Germany,Men
24.6,25.2,24.4,25.6,26,25.5,Germany,Women
20.8,20.2,22.1,22.8,21.7,23.6,Ghana,Men
21.5,20.6,23.2,25.6,23.8,27.1,Ghana,Women
25.5,25.6,25.5,26.9,26.7,26.9,Greece,Men
26.3,26.2,26.3,25,24.7,25.1,Greece,Women
23.9,23.7,23.9,25.8,25.4,25.9,Greenland,Men
25.5,26,25.3,26.5,26.9,26.4,Greenland,Women
22.7,22.4,23.4,25.2,25,25.7,Grenada,Men
25,24.6,25.9,28.8,28.7,29.1,Grenada,Women
23.1,22.5,24,25.7,24.8,26.4,Guatemala,Men
23,22.3,24.1,27.4,26.8,27.9,Guatemala,Women
20.5,20.2,21.5,22.4,21.9,23.1,Guinea,Men
20.9,20.3,22.5,23.5,22.4,25.5,Guinea,Women
20.7,20.4,21.7,22.8,22.2,23.4,Guinea Bissau,Men
21.1,20.6,22.7,24.2,22.8,25.6,Guinea Bissau,Women
22.5,22.3,23.1,25.1,24.9,25.5,Guyana,Men
23.9,23.6,24.8,27.6,27.5,27.8,Guyana,Women
23.5,23.2,24.3,26.5,26,26.7,Haiti,Men
20,19.4,21.8,24.6,23.5,25.2,Haiti,Women
23.5,23.1,24.2,26.2,25.5,26.6,Honduras,Men
22.1,21.4,23.4,27.7,26.9,28.3,Honduras,Women
25.7,25.6,25.7,27.9,27.9,27.9,Hungary,Men
25.4,25.6,25.3,25.9,26.2,25.8,Hungary,Women
24.8,25.2,24.8,27.1,27.3,27.1,Iceland,Men
24.3,24.9,24.3,25.5,25.9,25.5,Iceland,Women
19.6,18.9,21.9,21.9,21.5,22.6,India,Men
19.7,19,22.2,22.1,21.5,23.2,India,Women
20.1,19.8,20.9,22.5,21.9,23.1,Indonesia,Men
20.5,20,21.9,24,23.3,24.5,Indonesia,Women
22.6,22,23.2,25.4,24.5,25.7,Iran,Men
24.2,23.1,25.1,27.3,26.5,27.5,Iran,Women
24.6,24.2,24.8,27.7,27.2,27.9,Iraq,Men
26.1,24.8,26.7,29.8,29.1,30.1,Iraq,Women
25.4,25.7,25.2,27.8,28.1,27.7,Ireland,Men
24.4,24.7,24.2,26.8,27,26.7,Ireland,Women
24.6,24.3,24.6,26.4,25.6,26.4,Israel,Men
24.9,24,25,25.6,24.5,25.7,Israel,Women
24.9,25.1,24.9,26.2,26.1,26.3,Italy,Men
24.9,25.4,24.6,24.5,24.3,24.5,Italy,Women
22.6,22.1,23.1,25.4,25,25.7,Jamaica,Men
25.1,24.6,25.5,29.1,29.1,29,Jamaica,Women
22.3,22.3,22.3,23.6,23.6,23.6,Japan,Men
22,22.2,22,21.6,21.9,21.6,Japan,Women
25.3,25,25.4,28.3,27.9,28.4,Jordan,Men
27.7,27,28.1,29.9,30,29.9,Jordan,Women
24.1,23.8,24.4,26.3,26.2,26.5,Kazakhstan,Men
25.2,24.9,25.4,26.4,26.6,26.3,Kazakhstan,Women
20.1,19.9,21.2,22,21.6,23.1,Kenya,Men
21.2,20.9,23,24.4,23.7,26.5,Kenya,Women
27.2,26.6,28.4,28.8,28.7,28.9,Kiribati,Men
29,28.7,29.7,30.3,29.9,30.9,Kiribati,Women
26,25.2,26,29,28.2,29,Kuwait,Men
28.1,26.3,28.2,30.6,29.8,30.6,Kuwait,Women
23.5,23.2,23.9,26,25.8,26.2,Kyrgyzstan,Men
23,22.8,23.4,27.2,27.4,26.8,Kyrgyzstan,Women
20.4,20.3,20.9,22.8,22.5,23.2,Lao PDR,Men
19.8,19.6,21.2,23.2,22.8,23.9,Lao PDR,Women
24.9,25.2,24.8,26.8,26.9,26.8,Latvia,Men
25.4,25.9,25.1,25.8,26.5,25.5,Latvia,Women
24.9,24.7,24.9,27.7,27.4,27.7,Lebanon,Men
25,24.3,25.2,27,27.1,27,Lebanon,Women
20.8,20.7,21.8,22.6,22.3,23.5,Lesotho,Men
25.5,25.3,27,26.9,26.4,28.1,Lesotho,Women
21.5,21.1,22.2,23.1,22.6,23.6,Liberia,Men
21.6,20.8,22.7,25,23.8,26.3,Liberia,Women
24.2,23.7,24.4,26.9,26.3,27.1,Libya,Men
26.3,25,26.8,29.5,28.9,29.6,Libya,Women
25.6,25.7,25.5,27,26.9,27.1,Lithuania,Men
26.7,27.1,26.5,26,26.5,25.8,Lithuania,Women
24.8,25.2,24.8,26.9,27.1,26.9,Luxembourg,Men
24.5,24.9,24.4,25.4,25.6,25.4,Luxembourg,Women
25.3,25.3,25.4,27.3,27.3,27.3,Macedonia (TFYR),Men
25.6,25.9,25.4,26.1,26.4,25.9,Macedonia (TFYR),Women
19.9,19.7,20.8,21.9,21.4,22.7,Madagascar,Men
19.7,19.5,20.4,21.5,20.8,22.6,Madagascar,Women
20.1,20,20.9,22,21.8,22.9,Malawi,Men
20.8,20.7,22.3,23.5,23.1,25.9,Malawi,Women
22.2,21.9,22.6,25.3,24.7,25.5,Malaysia,Men
22.1,21.8,22.5,26.1,26.2,26.1,Malaysia,Women
21.4,21.1,22.1,24,23.5,24.5,Maldives,Men
22.6,22.3,23.3,25.9,25.7,26.2,Maldives,Women
20.7,20.4,21.8,22.9,22.4,23.6,Mali,Men
20,19.6,21.7,23.6,22.3,25.6,Mali,Women
25.5,25.8,25.5,27.2,27.2,27.2,Malta,Men
25.5,25.8,25.5,25.5,25.4,25.5,Malta,Women
27.4,26.3,28.1,28.9,28.8,29,Marshall Islands,Men
29,28.4,29.4,30.5,29.9,30.8,Marshall Islands,Women
21.2,20.7,22,23.3,22.6,23.8,Mauritania,Men
23.3,22.6,24.6,26.6,24.9,27.7,Mauritania,Women
22.5,22.4,22.8,24.6,24.4,25,Mauritius,Men
23.7,23.5,24,25.8,25.5,26.3,Mauritius,Women
25.1,24.4,25.4,27.6,26.8,27.9,Mexico,Men
24.2,23.3,24.6,28.5,28.1,28.6,Mexico,Women
26.5,26,27.7,28.7,28.8,28.7,Micronesia (Federated States of),Men
29,28.6,30.1,30.2,29.9,31.5,Micronesia (Federated States of),Women
24.9,24.8,25.1,26.6,26.3,27,Moldova,Men
26.8,27,26.5,27.1,27.4,26.8,Moldova,Women
22.9,22.6,23.2,25.8,25.6,25.8,Mongolia,Men
23.5,23.1,23.8,26.6,26.8,26.5,Mongolia,Women
25.1,25.1,25.2,27.1,27.1,27.1,Montenegro,Men
25.6,25.8,25.4,26,26.3,25.8,Montenegro,Women
22.2,21.9,22.7,24.6,24.1,24.9,Morocco,Men
23.9,22.8,25.3,27.1,26.3,27.6,Morocco,Women
19.9,19.7,21,22.1,21.6,23.2,Mozambique,Men
20.6,20.3,22.2,23.3,22.4,25.3,Mozambique,Women
19.8,19.5,20.6,21.8,21.4,22.6,Myanmar,Men
20.2,19.8,21.3,23,22.5,23.9,Myanmar,Women
20.9,20.6,21.8,22.9,22.3,23.7,Namibia,Men
22.8,22,25,25.3,23.9,26.8,Namibia,Women
32.6,NA,32.6,32.9,NA,32.9,Nauru,Men
34.1,NA,34.1,33.6,NA,33.6,Nauru,Women
19.7,19.5,22.2,22.4,22.2,23.2,Nepal,Men
18.4,18.3,20.5,22.5,22.1,23.9,Nepal,Women
